Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-397.88726487896645,nan,0
100,-127.40865562091275,-397.88726487896645,10.466692924499512,2
200,-107.37169393927184,-397.88726487896645,158.76174155473709,3
300,-166.53307866145255,-397.88726487896645,123.01783799290656,4
400,-188.6816561606352,-397.88726487896645,116.14148128032684,5
500,-188.6816561606352,-381.51285438907587,85.7636041355133,5
600,-181.4626000620332,-381.51285438907587,90.84622552156448,6
700,-200.21782468934344,-381.51285438907587,70.64751157283783,8
800,-185.45806813127277,-381.51285438907587,65.29024706602097,9
900,-194.4700062830588,-381.51285438907587,63.1206285572052,10
1000,-184.70159173366798,-178.93049498633292,57.38887298822403,11
1100,-176.24399209137906,-178.93049498633292,63.251239800453185,12
1200,-167.11114746472018,-178.93049498633292,49.83728063106537,13
1300,-162.4674767368071,-178.93049498633292,46.263913239240644,14
1400,-159.86164020584107,-178.93049498633292,35.32438142061233,15
1500,-160.45525430944474,-230.3535883324458,35.88852057933807,16
1600,-157.08930920842133,-230.3535883324458,47.38908002853393,17
1700,-155.5636543073578,-230.3535883324458,21.435159060955048,18
1800,-152.08417395141953,-230.3535883324458,37.58383038163185,19
1900,-158.96086016908717,-230.3535883324458,35.27971180677414,20
2000,-158.30138098403637,7.206599201074502,51.930084689855576,21
2100,-155.60462860705655,7.206599201074502,40.40861914873123,23
2200,-155.60462860705655,7.206599201074502,49.97740326404571,23
2300,-148.22790131126123,7.206599201074502,41.6367015171051,24
2400,-139.9435328400365,7.206599201074502,47.539186507463455,25
2500,-138.4095329138515,-198.43992951962645,33.26908272743225,26
2600,-123.60966840508817,-198.43992951962645,36.95200700759888,27
2700,-117.57750663032652,-198.43992951962645,33.895269730091094,28
2800,-115.75188198834003,-198.43992951962645,40.81692489385605,29
2900,-115.75188198834003,-198.43992951962645,44.26979605793953,29
3000,-105.83333510830248,-204.6989209259421,36.77926665425301,30
3100,-105.91926937767964,-204.6989209259421,39.57957294821739,31
3200,-104.44464098553513,-204.6989209259421,38.38252009391785,32
3300,-102.39249706646545,-204.6989209259421,36.016071140766144,33
3400,-102.0385315892253,-204.6989209259421,32.46811643958092,34
3500,-97.7729444275328,-278.4381863548965,48.67658501505852,35
3600,-94.5408589875726,-278.4381863548965,32.58925231695175,36
3700,-97.89423982373488,-278.4381863548965,44.136262753009795,37
3800,-94.0471974828414,-278.4381863548965,26.969019889831543,38
3900,-90.58521363439637,-278.4381863548965,33.47570434331894,39
4000,-80.7103591708794,-201.8776443512264,45.5477676486969,40
4100,-81.23278254188514,-201.8776443512264,41.660587261915204,41
4200,-88.079547308678,-201.8776443512264,43.56452796578407,42
4300,-95.64034058511695,-201.8776443512264,46.79705874323845,43
4400,-95.64034058511695,-201.8776443512264,25.913488153219223,43
4500,-97.85329034621294,-267.8575836374641,39.7463417494297,44
4600,-96.1602711712643,-267.8575836374641,38.44721283555031,45
4700,-95.26251796435014,-267.8575836374641,42.730910687446595,46
4800,-95.26251796435014,-267.8575836374641,37.84110079050064,46
4900,-99.14220113059278,-267.8575836374641,36.71992054700851,47
5000,-100.94407968097903,-156.74811431229372,41.747887054681776,48
5100,-101.90106589460116,-156.74811431229372,41.05550784945488,49
5200,-100.71817072852005,-156.74811431229372,32.200039328336715,50
5300,-97.60818297003586,-156.74811431229372,55.194054571390154,51
5400,-108.75593221813453,-156.74811431229372,24.366097630262374,52
5500,-108.75593221813453,-82.56818055953791,40.98555127739906,52
5600,-106.1250377348093,-82.56818055953791,36.006834608316424,53
5700,-106.1250377348093,-82.56818055953791,30.77886848449707,53
5800,-114.29017143407995,-82.56818055953791,34.754018578529354,54
5900,-120.30611610543242,-82.56818055953791,32.407095966339114,55
6000,-120.30611610543242,-85.84345251362829,41.18870187997818,55
6100,-114.23140006204832,-85.84345251362829,37.150141685009004,56
6200,-114.70794142557182,-85.84345251362829,37.30046920776367,57
6300,-113.01427315303742,-85.84345251362829,35.14894493341446,58
6400,-113.01427315303742,-85.84345251362829,29.334453707933427,58
6500,-113.01427315303742,-101.35871675720125,44.990138220787045,58
6600,-112.39491144512672,-101.35871675720125,33.84574918270111,59
6700,-110.79143319726775,-101.35871675720125,31.483712216615675,60
6800,-110.79143319726775,-101.35871675720125,26.93139300465584,60
6900,-110.79143319726775,-101.35871675720125,34.03855358600617,60
7000,-104.5619847772086,18.05173073833659,22.70288152575493,61
7100,-90.6691299128305,18.05173073833659,32.15756095170975,62
