Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-301.05190868244665,nan,0
100,-158.40767564596752,-301.05190868244665,161.85421752929688,2
200,-237.3015743127528,-301.05190868244665,163.20096170425415,3
300,-195.10060073667262,-301.05190868244665,155.1679615998268,4
400,-216.37989584549277,-301.05190868244665,116.048292658329,5
500,-202.16544624595667,-128.8812707487556,120.59619253516198,6
600,-186.48074042010006,-128.8812707487556,113.28550080060958,8
700,-186.48074042010006,-128.8812707487556,83.87331228017807,8
800,-192.54101511616824,-128.8812707487556,114.67101663827896,9
900,-178.66040956563646,-128.8812707487556,96.58745586752892,11
1000,-181.26565780803034,-320.0207817086269,76.91824943065643,12
1100,-170.16511342619648,-320.0207817086269,70.18469947814941,14
1200,-175.25010546634186,-320.0207817086269,77.03167880773545,15
1300,-180.78839643339492,-320.0207817086269,73.31361803770065,16
1400,-180.78839643339492,-320.0207817086269,64.16300130605697,16
1500,-180.56428562191343,-572.5729467912664,66.43362044334411,17
1600,-177.79155245138617,-572.5729467912664,60.89343004107475,19
1700,-177.79155245138617,-572.5729467912664,56.989733501672745,19
1800,-176.40910287158826,-572.5729467912664,46.90593945860863,21
1900,-176.40910287158826,-572.5729467912664,37.4831678044796,21
2000,-164.14079807103099,-606.4908781686097,56.213246064186094,22
2100,-161.8295387081077,-606.4908781686097,53.87666131973267,24
2200,-165.07488677066402,-606.4908781686097,35.66947945833206,25
2300,-166.97974885769435,-606.4908781686097,51.46188910722733,26
2400,-172.60934525715558,-606.4908781686097,47.76864245653152,27
2500,-174.88262916035214,-640.959790178259,41.834640538692476,28
2600,-167.8262535215212,-640.959790178259,70.06453542470932,29
2700,-166.04668679978306,-640.959790178259,55.43950875043869,30
2800,-167.6049112747303,-640.959790178259,44.106046382188794,31
2900,-163.76997337260656,-640.959790178259,45.037234416008,32
3000,-160.9707901159506,-47.43511888148807,31.815245027542115,33
3100,-158.04391010839635,-47.43511888148807,37.16884400367737,35
3200,-151.58587583604103,-47.43511888148807,28.21722846031189,36
3300,-151.58587583604103,-47.43511888148807,38.528141187429426,36
3400,-146.3886740946589,-47.43511888148807,24.385435848236085,37
3500,-143.15963999543962,-175.11204196619627,39.45970950841904,38
3600,-139.91876716703126,-175.11204196619627,41.76094807624817,39
3700,-140.5792575209504,-175.11204196619627,46.80212354660034,40
3800,-135.8958523353486,-175.11204196619627,48.79324078798294,41
3900,-141.50660674172303,-175.11204196619627,52.02488362908363,42
4000,-134.91395618096763,-488.7762487457015,68.32039476394654,43
4100,-110.60249344525725,-488.7762487457015,84.93554897546768,45
4200,-128.29060606905992,-488.7762487457015,77.5302311706543,46
4300,-121.18650387975308,-488.7762487457015,93.23351611614227,47
4400,-119.6186202387926,-488.7762487457015,84.37942744255066,48
4500,-121.50207034363757,-241.41757178427824,77.34368703842163,49
4600,-123.42027467727408,-241.41757178427824,49.234275524616244,51
4700,-120.74097517014222,-241.41757178427824,57.50702289104461,52
4800,-124.4451473493463,-241.41757178427824,38.711473155021665,53
4900,-125.07039294341912,-241.41757178427824,40.96223395347595,54
5000,-131.66085646870866,-465.4746115448328,49.456871852874755,55
5100,-134.06937140940343,-465.4746115448328,52.25223948478699,57
5200,-134.06937140940343,-465.4746115448328,51.40701668739319,57
5300,-148.51696927144764,-465.4746115448328,52.02958125591278,59
5400,-147.577768804842,-465.4746115448328,54.68365657925606,60
5500,-158.56647354944528,-218.48900325535774,36.46210658311844,61
5600,-160.40563307223394,-218.48900325535774,50.76738854169846,62
5700,-165.83280414216773,-218.48900325535774,50.38557951927185,63
5800,-166.42748477615044,-218.48900325535774,49.10883363246918,64
5900,-165.04467902239767,-218.48900325535774,56.60924499750137,65
6000,-143.34306970196613,-275.4982015395556,37.78775223731995,66
6100,-143.84181620691948,-275.4982015395556,62.179981198310855,67
6200,-140.88678568026998,-275.4982015395556,52.51016525030136,68
6300,-136.04679369465129,-275.4982015395556,46.01697486877441,69
6400,-132.2227260418366,-275.4982015395556,60.58430879116058,71
6500,-132.2227260418366,-313.22713481465337,49.037124580144884,71
6600,-143.68265613028808,-313.22713481465337,35.37440904378891,73
6700,-143.1872165304418,-313.22713481465337,22.97725327014923,74
6800,-136.3153002185505,-313.22713481465337,20.054450180530548,75
6900,-136.3153002185505,-313.22713481465337,14.108176758289337,75
7000,-134.26286392946298,-51.31536141351283,22.387019156217576,76
7100,-131.4796916473837,-51.31536141351283,9.157970678806304,77
7200,-120.99968268919875,-51.31536141351283,9.819961380958556,78
7300,-119.32343139510881,-51.31536141351283,9.665592383146286,79
7400,-119.67673011294342,-51.31536141351283,8.288871346712112,80
7500,-107.31756107833988,-206.3137403957735,7.212937893867493,81
7600,-106.62736549394205,-206.3137403957735,16.52382010400295,82
7700,-99.88623069240325,-206.3137403957735,29.377941689491273,84
7800,-100.02264569085233,-206.3137403957735,29.40496458530426,85
7900,-99.48798201526289,-206.3137403957735,40.97129019498825,86
8000,-101.99555721435203,-398.3485912712424,22.08119982123375,87
8100,-101.86419688439292,-398.3485912712424,27.04528272509575,88
8200,-107.15494110173722,-398.3485912712424,36.22432295441627,89
8300,-116.5394206298585,-398.3485912712424,62.8645507144928,91
8400,-116.5394206298585,-398.3485912712424,54.30119424462318,91
8500,-109.95892583632342,-157.40450545415723,44.11196952462196,92
8600,-105.23232688450801,-157.40450545415723,44.190454342365264,93
8700,-97.88665716629633,-157.40450545415723,52.64297888159752,94
8800,-97.88665716629633,-157.40450545415723,31.030992534160614,94
8900,-98.63477872756967,-157.40450545415723,31.795814055204392,95
9000,-98.63477872756967,-89.52579726465062,35.203505376577375,95
9100,-96.04604855057181,-89.52579726465062,13.472326546907425,96
9200,-98.49960444995651,-89.52579726465062,11.345694733858108,97
9300,-100.43162003096431,-89.52579726465062,15.349928166866302,98
9400,-96.07236101352977,-89.52579726465062,13.001384483575821,99
9500,-95.0321519656002,-87.65990215049712,15.274985439777375,100
9600,-98.76260156619908,-87.65990215049712,34.37855348110199,101
9700,-97.5805708440972,-87.65990215049712,13.458441050052643,102
9800,-101.20152359075361,-87.65990215049712,34.01710871458054,103
9900,-106.74407348302353,-87.65990215049712,34.9410701084137,104
10000,-106.74407348302353,-94.21651444483439,24.910677931308747,104
10100,-108.9853616051928,-94.21651444483439,47.29813776493072,105
10200,-107.39559582836725,-94.21651444483439,32.77634009957313,106
10300,-105.3707874713215,-94.21651444483439,43.773962075710294,107
10400,-103.25881946160511,-94.21651444483439,50.512170689105986,108
10500,-99.9843288896226,-54.841154324443394,55.15060642242432,109
10600,-86.2669580226733,-54.841154324443394,31.531713330745696,111
10700,-84.9285871183395,-54.841154324443394,30.64586649656296,112
10800,-84.9285871183395,-54.841154324443394,34.23421598434448,112
10900,-81.46359112016992,-54.841154324443394,21.004377827644348,113
11000,-78.46161680136011,-38.57080672769207,37.052309864759444,115
11100,-74.98117855000787,-38.57080672769207,18.608142573833465,116
11200,-73.47990675359344,-38.57080672769207,11.393714632987976,117
11300,-73.06210913367522,-38.57080672769207,15.053114751577377,119
11400,-70.5534677335223,-38.57080672769207,11.686326355934144,120
11500,-70.5534677335223,-119.94672755162814,14.388751660585404,120
11600,-69.73403694276031,-119.94672755162814,12.264463844299316,121
11700,-69.50987292027041,-119.94672755162814,14.22631937623024,122
11800,-64.96331032749917,-119.94672755162814,12.127277326583862,123
11900,-57.79372063433451,-119.94672755162814,13.98326219201088,124
12000,-56.55674889952568,-28.069021909363556,16.03373027086258,125
12100,-53.45450879808455,-28.069021909363556,11.848164157867432,126
12200,-48.465832424215726,-28.069021909363556,19.85404942750931,127
12300,-45.74308293058091,-28.069021909363556,17.139299504756927,128
12400,-45.20848257494653,-28.069021909363556,15.846177279949188,129
12500,-49.28759167288952,-138.79130226496108,13.977680447101593,130
12600,-45.50765082378627,-138.79130226496108,18.570757464170455,131
12700,-47.38835586159654,-138.79130226496108,21.907389529943465,132
12800,-48.5390069041512,-138.79130226496108,24.91317648291588,133
12900,-48.5390069041512,-138.79130226496108,30.171994897127153,133
13000,-48.5390069041512,-34.83535442875978,30.454308133125306,133
13100,-43.95977881781753,-34.83535442875978,27.50585284948349,134
13200,-48.950601735605076,-34.83535442875978,23.754355076551438,136
13300,-45.75773677740069,-34.83535442875978,24.840090427398682,137
13400,-45.35047679482837,-34.83535442875978,24.4430635535717,138
13500,-43.77139131843363,-17.97807099124537,25.258258624076845,139
13600,-40.04986795959705,-17.97807099124537,30.82488222360611,140
13700,-37.29874681640585,-17.97807099124537,26.146721502542494,141
13800,-33.361744408493465,-17.97807099124537,20.587424719333647,142
13900,-36.47267087216632,-17.97807099124537,16.807061309814454,143
14000,-47.465221232454745,-153.7510637043476,32.73464787840843,144
14100,-42.86860251055943,-153.7510637043476,30.46199474811554,145
14200,-46.612387238065736,-153.7510637043476,22.016271950006484,146
14300,-48.54867697666823,-153.7510637043476,18.047740243673324,147
14400,-47.800548987760244,-153.7510637043476,17.68153804779053,148
14500,-46.66949034467053,-392.80245819982895,13.042152639627457,149
14600,-51.399308912428786,-392.80245819982895,44.614747688770294,151
14700,-51.021442772333025,-392.80245819982895,43.183500006198884,152
14800,-50.6246333422421,-392.80245819982895,50.42895750522614,153
