Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-677.0891855900886,nan,0
100,-102.57442695483869,-677.0891855900886,158.17340087890625,2
200,-129.12136939701574,-677.0891855900886,160.69048428416252,3
300,-161.72066548235824,-677.0891855900886,102.66026482820511,4
400,-148.3878444158402,-677.0891855900886,128.36060485601425,5
500,-166.15450373923133,-660.8292024360962,92.2274450969696,6
600,-177.39533581979862,-660.8292024360962,85.8929300904274,8
700,-177.39533581979862,-660.8292024360962,74.85326575040817,8
800,-159.4607178652737,-660.8292024360962,83.30059949398041,10
900,-149.36556568175502,-660.8292024360962,67.57894438743591,11
1000,-148.69686260968513,-149.74258132395966,58.232430999279025,12
1100,-139.84068523324055,-149.74258132395966,53.58809094905853,13
1200,-140.69510401573956,-149.74258132395966,52.07356634736061,14
1300,-130.95274117115588,-149.74258132395966,55.772901318073274,15
1400,-126.51870782021317,-149.74258132395966,49.78483148097992,16
1500,-145.16672138451864,-387.9964679088168,54.46572021842003,17
1600,-142.68524270154583,-387.9964679088168,58.765330817699436,18
1700,-160.29108063295774,-387.9964679088168,58.535821504592896,19
1800,-164.27674728383437,-387.9964679088168,65.93482835054398,20
1900,-169.73659517779402,-387.9964679088168,52.551557779312134,22
2000,-165.80074571792437,-308.779970591228,53.29632136940956,23
2100,-160.01311779052875,-308.779970591228,44.025671529769895,24
2200,-151.6074434643425,-308.779970591228,53.7418062543869,26
2300,-151.6074434643425,-308.779970591228,59.17055519342423,26
2400,-149.09941693167548,-308.779970591228,62.56763306379318,27
2500,-140.74639917678923,-181.71209007738207,51.2941983628273,28
2600,-140.8930848320391,-181.71209007738207,62.65056961774826,30
2700,-143.00437110420583,-181.71209007738207,71.49158608436585,31
2800,-142.87004488858094,-181.71209007738207,59.70031074762344,32
2900,-148.17716500133858,-181.71209007738207,65.14374519586563,33
3000,-145.52108511290476,-222.5519757566239,36.45800177335739,34
3100,-158.5607915895691,-222.5519757566239,60.26094496011734,36
3200,-141.88375356687652,-222.5519757566239,58.90907287359238,37
3300,-141.9799202846039,-222.5519757566239,60.08453145503998,38
3400,-123.77899350727225,-222.5519757566239,54.9708469414711,39
3500,-117.79318981707316,-150.0662531492606,54.670040645599364,40
3600,-116.85452439151614,-150.0662531492606,55.61491706132889,41
3700,-109.1962688276047,-150.0662531492606,51.906097531318665,42
3800,-113.25574916879422,-150.0662531492606,44.55698337316513,43
3900,-107.35144984872029,-150.0662531492606,58.75410768270493,44
4000,-112.67321405396395,-265.27237633225957,45.39907834768295,45
4100,-116.17831879040038,-265.27237633225957,75.17251878738404,47
4200,-115.53307193604226,-265.27237633225957,64.2622406232357,48
4300,-117.42106351864888,-265.27237633225957,49.07404970407486,49
4400,-114.35090425216599,-265.27237633225957,54.48429006576538,50
4500,-114.35090425216599,-140.52956361970757,53.458315670490265,50
4600,-116.87221784414814,-140.52956361970757,47.45368868708611,51
4700,-120.78610256924237,-140.52956361970757,74.63357259631157,52
4800,-120.54878454528357,-140.52956361970757,54.803595690727235,53
4900,-119.48190801679,-140.52956361970757,57.10286499023437,54
5000,-110.34082000320689,-185.01532758935437,51.50295884013176,55
5100,-109.54093774293395,-185.01532758935437,61.26356117725372,56
5200,-109.4174392995803,-185.01532758935437,50.7787467288971,57
5300,-109.10715940045483,-185.01532758935437,58.21128793716431,58
5400,-118.45806445900958,-185.01532758935437,55.74025612831116,59
5500,-121.41667153445162,-458.1453053722004,55.4790994656086,60
5600,-125.46006207053979,-458.1453053722004,43.11998390197754,61
5700,-123.2176345294735,-458.1453053722004,47.23543053507805,62
5800,-119.72242873178512,-458.1453053722004,72.03933435559273,63
5900,-134.75650248538773,-458.1453053722004,65.03150618076324,64
6000,-134.75650248538773,-426.27617209518195,57.02127061605454,64
6100,-129.20988699456413,-426.27617209518195,59.436163996458056,65
6200,-128.9991762578792,-426.27617209518195,48.25629376292229,66
6300,-129.89755010174457,-426.27617209518195,44.594290709495546,68
6400,-129.89755010174457,-426.27617209518195,53.501887466907505,68
6500,-125.16758003967198,-436.10095308310156,52.805635154247284,69
6600,-129.39642617460498,-436.10095308310156,37.88356035709381,70
6700,-128.65664614633562,-436.10095308310156,54.268295047283175,71
6800,-117.11274747455305,-436.10095308310156,49.74679545760155,72
6900,-123.67342245573965,-436.10095308310156,53.47323821663856,73
7000,-125.2037884336693,-46.57816515184703,59.77781895518303,74
7100,-123.83062015133058,-46.57816515184703,48.7225634598732,75
7200,-132.08079608509863,-46.57816515184703,49.747463876008986,77
7300,-132.08079608509863,-46.57816515184703,47.33743924260139,77
7400,-130.90971788937105,-46.57816515184703,54.73639449834823,78
7500,-120.48809754544463,-39.05788082447527,57.836095176935196,79
7600,-113.49966187499186,-39.05788082447527,46.872556546926496,81
7700,-113.49966187499186,-39.05788082447527,56.568720030784604,81
7800,-115.57916685966202,-39.05788082447527,38.76094926714897,82
7900,-100.50795868275009,-39.05788082447527,43.436990311145784,84
8000,-100.50795868275009,-35.98425733118379,46.498811876773836,84
8100,-101.79069928130318,-35.98425733118379,49.6341279554367,85
8200,-96.77805321173742,-35.98425733118379,42.649343425035475,86
8300,-98.34330955793132,-35.98425733118379,65.62469064950943,87
8400,-99.0764039099878,-35.98425733118379,51.695442054271695,88
8500,-100.05061203671212,-70.51116014801387,44.01048892974853,89
8600,-96.92230069013755,-70.51116014801387,36.37608943343162,90
8700,-99.87042465889388,-70.51116014801387,45.52954300522804,91
8800,-113.93580645881143,-70.51116014801387,34.395992785692215,92
8900,-104.87605387549254,-70.51116014801387,41.70813386917114,93
9000,-99.93760348255765,33.46231957062277,41.524317007064816,94
9100,-89.52671973929354,33.46231957062277,55.00538292884826,96
9200,-89.52671973929354,33.46231957062277,44.2525504386425,96
9300,-88.86467169511374,33.46231957062277,38.74583173036575,98
9400,-88.86467169511374,33.46231957062277,45.10629018187523,98
9500,-87.6098769179803,-19.31669411102208,38.31350387096405,99
9600,-89.96226837823856,-19.31669411102208,32.455462819337846,101
9700,-89.96226837823856,-19.31669411102208,48.588877856731415,101
9800,-86.39223428131638,-19.31669411102208,33.678751044273376,102
9900,-89.01241495205659,-19.31669411102208,39.72296516299248,104
10000,-101.88770409958472,48.08922875189103,35.858010449409484,105
10100,-98.3660858180146,48.08922875189103,48.979754378795626,106
