Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-122.94908688913247,nan,0
100,-26.292714233827787,-122.94908688913247,327.94134521484375,2
200,-117.88918828736405,-122.94908688913247,250.4326784658432,3
300,-187.20159582334188,-122.94908688913247,228.92760361671446,4
400,-177.14189488444222,-122.94908688913247,133.40705760478974,5
500,-210.4263071363583,-772.6090968926761,146.27827796936035,6
600,-195.75083251744113,-772.6090968926761,130.8261897468567,7
700,-193.79386467435035,-772.6090968926761,154.69533877372743,8
800,-206.38963775503842,-772.6090968926761,159.37333275318144,9
900,-195.89423543374429,-772.6090968926761,124.14316238880157,10
1000,-184.23141766174638,-110.23754641396383,133.93333225250245,11
1100,-184.0362504139016,-110.23754641396383,131.10455048799514,12
1200,-172.1594810799231,-110.23754641396383,119.20841326951981,14
1300,-161.4251920451856,-110.23754641396383,131.10943086862565,15
1400,-160.88196900043005,-110.23754641396383,142.43936337471007,16
1500,-159.13116431113772,-139.76013102349458,130.1924489426613,17
1600,-156.5354999755098,-139.76013102349458,155.81757771492005,18
1700,-153.0173034895807,-139.76013102349458,125.93491314411163,19
1800,-159.58406042960698,-139.76013102349458,126.72432563781739,20
1900,-159.72277399279216,-139.76013102349458,139.30505808353425,21
2000,-169.2353626674125,-115.04520819956204,122.73312698841094,22
2100,-159.9344567114132,-115.04520819956204,117.93115199804306,23
2200,-147.5929303879391,-115.04520819956204,112.70979122161866,24
2300,-147.33143441808144,-115.04520819956204,94.87370040893555,25
2400,-140.0849345140243,-115.04520819956204,107.23964094877243,26
2500,-141.38757902821504,16.825495684757886,108.8445190668106,27
2600,-137.66947001446786,16.825495684757886,106.04938126683236,28
2700,-127.42122220621681,16.825495684757886,103.14895109891891,30
2800,-141.08809131850757,16.825495684757886,114.21971041440963,31
2900,-139.7118211070112,16.825495684757886,83.43309041500092,32
3000,-143.69733331926417,-157.46135707997794,110.68849713087081,33
3100,-145.28370045067115,-157.46135707997794,115.1291169500351,34
3200,-158.08370460738598,-157.46135707997794,84.71727538108826,35
3300,-159.29280633429178,-157.46135707997794,96.04882180929184,36
3400,-159.34943059488842,-157.46135707997794,77.96258994102477,37
3500,-161.0784869982202,-11.204109691693938,82.06968571543693,38
3600,-161.43610135725766,-11.204109691693938,91.90601962327958,39
3700,-151.4176726124303,-11.204109691693938,83.45186767339706,41
3800,-149.05905231337687,-11.204109691693938,71.39788722157478,42
3900,-149.05905231337687,-11.204109691693938,79.14311577558517,42
4000,-155.88261822718638,-97.28768127142082,67.31580322265626,43
4100,-155.34438288133933,-97.28768127142082,70.01235578775406,45
4200,-141.70448853211528,-97.28768127142082,88.66901982784272,46
4300,-137.87301184490337,-97.28768127142082,82.2363244330883,47
4400,-137.06970139448566,-97.28768127142082,79.75524307250977,48
4500,-137.06970139448566,-35.51373895108124,86.37142152547837,48
4600,-141.83235498632078,-35.51373895108124,80.03285932779312,49
4700,-147.03184735343436,-35.51373895108124,65.2919111585617,50
4800,-135.5201449692544,-35.51373895108124,69.18407071352004,51
4900,-133.8885209189647,-35.51373895108124,67.73444780468941,52
5000,-131.0482259163742,-36.672303895505195,66.50525020241737,53
5100,-114.86814305303412,-36.672303895505195,71.55064387083054,55
5200,-114.89606785824404,-36.672303895505195,80.0812518620491,56
5300,-114.89606785824404,-36.672303895505195,54.38717413425446,56
5400,-110.1474531116703,-36.672303895505195,59.17049137949944,58
5500,-108.55101511519224,-68.49514580430974,62.30982870697975,59
5600,-108.44883507931272,-68.49514580430974,57.581383001804355,60
5700,-109.23623719799306,-68.49514580430974,65.22405020356179,61
5800,-111.58226567076974,-68.49514580430974,52.92133716702461,62
5900,-107.99193741357344,-68.49514580430974,55.53555082321167,63
6000,-104.73750862099828,-50.95786232579368,65.67960088133812,64
6100,-116.58049912059434,-50.95786232579368,42.61127552986145,66
6200,-116.58049912059434,-50.95786232579368,77.33925518155098,66
6300,-121.45457994905658,-50.95786232579368,66.67986160039902,67
